Hospital Name,O2 Beds
AIIMS Hospital,177
Indira Gandhi Rugnalaya Gandhi Nagar,2
Lata Mangeshkar Hospital Sitabuldi (S.G.),14
Swasthyam Superspeciality Hospital,4
Sunflower Hospital,2
Mure Memorial Hospital,18
Asian Kidney Hospital and Medical Center,5
Shri Saikripa Hospital,1
Evershine Hospital,4
Tarangan Hospital,10
Shri Bhavani Hospital,4
Samarpan Hospital,5
Rugwani Child Care Center & Hospital,6
Medicare Hospital,2
New Life Hospital (Unit of ChhajedHealthcare Pvt. Ltd.),2
P. D. Hospital,4
"Military Hospital, Kamptee",24
"Axon Hospital, Nagpur",7
COVIDALAYA  Hospital Jamtha (Indumati Gaikwad Patil Hospital),35
"Choudhari Hospital, Kamptee",6
"Choudhari Multispeciality Hospital, Butibori",12
"Aditya hospital, Saoner",15
New Life Hospital Dahegaon,15
BAGHE MULTISPECIALITY HOSPITAL,6
Maya Hospital Butibori,6
Dhanwantari Katol,6
Roy Hospital Kamptee,2
Tanushree Nursing Home Saoner,60
"Pande Childcare, Kalmeshwar",9
"Zurmure Hospital, Umred",18
"Jawaharlal Neharu Central Hospital, Kandri Kanhan Parseoni",5
Shree Gurukrupa Hospital Saoner,20
Jaiswal Hospital Gujarkhedi Saoner,35
"Jai Shraddha Hospital, Khapa",29
Wankhede Hospital Kanhan Parseoni,8
OFAJ Hospital Ambajhari,30
RH Bhiwapur,20
Hotel Restr Inn,18
